速度,馬拉松舒適指數,距離,預測人數,預測時間,Tianzhong,溫度,濕度,熱中暑危險係數,空氣品質指標,細懸浮微粒,蒲福風級,小時雨量
11.00 ,0,10000 ,366.00 ,3274.190 ,Tianzhong_2017 group_0,20.40,99,30.3,24,9,1,3.0
10.16 ,0,10000 ,732.00 ,3542.465 ,,20.40,99,30.3,24,9,1,3.0
9.59 ,0,10000 ,1098.00 ,3752.748 ,,20.40,99,30.3,24,9,1,3.0
8.98 ,0,10000 ,1464.00 ,4009.360 ,,20.40,99,30.3,24,9,1,3.0
8.60 ,0,10000 ,337.25 ,4184.380 ,group_1,20.40,99,30.3,24,9,1,3.0
8.13 ,0,10000 ,674.50 ,4428.890 ,,20.40,99,30.3,24,9,1,3.0
7.73 ,0,10000 ,1011.75 ,4657.060 ,,20.40,99,30.3,24,9,1,3.0
6.56 ,0,10000 ,1349.00 ,5489.470 ,,20.40,99,30.3,24,9,1,3.0
11.03 ,0,20000 ,373.50 ,6528.900 ,group_0,20.90,99,30.8,23,10,2,2.0
10.22 ,0,20000 ,747.00 ,7047.575 ,,20.90,99,30.8,23,10,2,2.0
9.63 ,0,20000 ,1120.50 ,7475.568 ,,20.90,99,30.8,23,10,2,2.0
8.52 ,0,20000 ,1494.00 ,8446.860 ,,20.90,99,30.8,23,10,2,2.0
8.47 ,0,20000 ,329.75 ,8499.145 ,group_1,20.90,99,30.8,23,10,2,2.0
8.03 ,0,20000 ,659.50 ,8971.310 ,,20.90,99,30.8,23,10,2,2.0
7.64 ,0,20000 ,989.25 ,9425.860 ,,20.90,99,30.8,23,10,2,2.0
6.63 ,0,20000 ,1319.00 ,10867.900 ,,21.30,99,31.2,22,8,2,0.5
10.60 ,0,30000 ,401.75 ,10185.180 ,group_0,21.30,99,31.2,22,8,2,0.5
9.71 ,0,30000 ,803.50 ,11120.350 ,,21.30,99,31.2,22,8,2,0.5
9.18 ,0,30000 ,1205.25 ,11771.070 ,,21.30,99,31.2,22,8,2,0.5
8.17 ,0,30000 ,1607.00 ,13215.870 ,,22.20,99,32.1,23,9,2,2.0
7.80 ,0,30000 ,301.50 ,13838.750 ,group_1,22.20,99,32.1,23,9,2,2.0
7.49 ,0,30000 ,603.00 ,14420.130 ,,22.20,99,32.1,23,9,2,2.0
7.18 ,0,30000 ,904.50 ,15034.148 ,,22.20,99,32.1,23,9,2,2.0
6.20 ,0,30000 ,1206.00 ,17429.280 ,,22.30,99,32.2,29,8,2,1.5
10.46 ,0,36000 ,410.50 ,12390.468 ,group_0,21.30,99,31.2,22,8,2,0.5
9.54 ,0,36000 ,821.00 ,13586.050 ,,22.20,99,32.1,23,9,2,2.0
8.98 ,0,36000 ,1231.50 ,14435.973 ,,22.20,99,32.1,23,9,2,2.0
8.37 ,0,36000 ,1642.00 ,15481.190 ,,22.20,99,32.1,23,9,2,2.0
7.57 ,0,36000 ,292.75 ,17118.890 ,group_1,22.30,99,32.2,29,8,2,1.5
7.30 ,0,36000 ,585.50 ,17748.010 ,,22.30,99,32.2,29,8,2,1.5
7.04 ,0,36000 ,878.25 ,18410.785 ,,22.30,99,32.2,29,8,2,1.5
6.39 ,0,36000 ,1171.00 ,20293.040 ,,22.30,99,32.2,29,8,2,1.5
10.47 ,0,40000 ,410.25 ,13756.820 ,group_0,22.30,99,32.1,23,9,2,2.0
9.56 ,0,40000 ,820.50 ,15063.580 ,,22.30,99,32.1,23,9,2,2.0
8.99 ,0,40000 ,1230.75 ,16009.690 ,,23.20,99,32.1,23,9,2,2.0
8.50 ,0,40000 ,1641.00 ,16934.930 ,,23.20,99,32.2,29,8,2,1.5
7.55 ,0,40000 ,293.00 ,19074.475 ,group_1,22.30,99,32.2,29,8,2,1.5
7.27 ,0,40000 ,586.00 ,19799.395 ,,22.30,99,32.2,29,8,2,1.5
7.01 ,0,40000 ,879.00 ,20541.985 ,,23.20,99,33.1,37,17,2,0.0
6.48 ,0,40000 ,1172.00 ,22239.080 ,,23.20,99,33.1,37,17,2,0.0
10.42 ,0,42195 ,410.25 ,14574.060 ,group_0,22.20,99,32.1,23,9,2,2.0
9.50 ,0,42195 ,820.50 ,15993.880 ,,22.20,99,32.1,23,9,2,2.0
8.95 ,0,42195 ,1230.75 ,16978.100 ,,22.30,99,32.2,29,8,2,1.5
8.34 ,0,42195 ,1641.00 ,18217.570 ,,22.30,99,32.2,29,8,2,1.5
7.49 ,0,42195 ,293.00 ,20284.965 ,group_1,22.30,99,32.2,29,8,2,1.5
7.21 ,0,42195 ,586.00 ,21067.855 ,,23.20,99,33.1,37,17,2,0.0
6.97 ,0,42195 ,879.00 ,21800.308 ,,23.20,99,33.1,37,17,2,0.0
6.43 ,0,42195 ,1172.00 ,23623.380 ,,23.20,99,33.1,37,17,2,0.0
10.62 ,0,10000 ,503.75 ,3389.545 ,Tianzhong_2018 group_0,23.1,90,23.1,16,19,0,0.0
9.67 ,0,10000 ,1007.50 ,3721.430 ,,23.1,90,23.1,16,19,0,0.0
8.82 ,0,10000 ,1511.25 ,4082.410 ,,23.1,90,23.1,16,19,0,0.0
6.74 ,0,10000 ,2015.00 ,5341.820 ,,23.1,90,23.1,16,19,0,0.0
8.95 ,0,10000 ,381.75 ,4022.805 ,group_1,23.1,76,23.1,16,19,0,0.0
8.35 ,0,10000 ,763.50 ,4311.000 ,,23.1,71,23.1,16,19,0,0.0
7.85 ,0,10000 ,1145.25 ,4587.885 ,,23.1,71,23.1,16,19,0,0.0
2.76 ,0,10000 ,1527.00 ,13061.000 ,,24.9,67,24.9,28,22,1,0.0
10.95 ,0,20000 ,377.50 ,6576.858 ,group_0,23.7,90,23.7,23,25,1,0.0
10.15 ,0,20000 ,755.00 ,7092.070 ,,23.7,90,23.7,23,25,1,0.0
9.57 ,0,20000 ,1132.50 ,7527.170 ,,23.7,87,23.7,23,25,1,0.0
